time_ns,protein_rmsd_A,ligand_rmsd_A
0.0,9.075755146615724e-07,
0.25,1.143403612582199,
0.5,1.8258914168373888,
0.75,1.7922878501685695,
1.0,1.5443606348234695,
1.25,2.040954627894842,
1.5,1.8318171459519113,
1.75,1.8548569767007417,
2.0,1.7128275322695894,
2.25,1.7495160437637092,
2.5,1.611781395912261,
2.75,1.848921182942414,
3.0,2.128139572013732,
3.25,2.1969659760931055,
3.5,2.1442585404503576,
3.75,2.2917845088420687,
4.0,1.447325502611693,
4.25,1.6452212696076731,
4.5,1.6840752137097088,
4.75,1.6319487564923256,
5.0,1.845408009801685,
5.25,1.7964039210936813,
5.5,2.0991119702710064,
5.75,2.502785897538769,
6.0,2.556037145749163,
6.25,2.4661186246843148,
6.5,2.3234591510884153,
6.75,2.48108605144068,
7.0,2.2964547087100105,
7.25,2.3247528224437675,
7.5,2.240200728516892,
7.75,2.255964010195215,
8.0,2.1513615667591233,
8.25,2.202383738505738,
8.5,2.041937264210876,
8.75,2.1941947712478864,
9.0,2.0070285364674505,
9.25,2.1393734010327843,
9.5,2.0175579434499302,
9.75,2.0476042812037045,
10.0,2.295327987865532,
10.25,2.119177401385656,
10.5,2.30942920337136,
10.75,2.372931181482953,
11.0,2.3812551795900596,
11.25,2.356514732751792,
11.5,2.4916543820140906,
11.75,2.4655595363990717,
12.0,2.448931202157067,
12.25,2.5439698408440803,
12.5,2.8272485195209858,
12.75,2.6915631616125455,
13.0,2.937309429871025,
13.25,2.625935524288923,
13.5,2.815898050478779,
13.75,2.8086724044995948,
14.0,2.645658285745318,
14.25,2.483044640598292,
14.5,2.4444038337800578,
14.75,2.486203288126609,
15.0,2.4238184948137587,
15.25,2.500939930621741,
15.5,2.379074106086545,
15.75,2.4257267211204994,
16.0,2.6806346331522173,
16.25,2.941390392820242,
16.5,2.736825332010133,
16.75,2.799014857066298,
17.0,2.74578814476477,
17.25,2.6285225319037675,
17.5,2.7536582550379336,
17.75,2.7603032126040694,
18.0,2.814797059087091,
18.25,2.726341159320891,
18.5,2.803641814369093,
18.75,2.7434184702716418,
19.0,2.6332147999779685,
19.25,2.609554907425523,
19.5,2.6398641411192147,
19.75,2.51936566640013,
20.0,2.4766621980739227,
20.25,2.3653927277572135,
20.5,2.2816598824337437,
20.75,2.319394832359696,
21.0,2.159307509073143,
21.25,2.367753086716735,
21.5,2.5457276576104255,
21.75,2.30901070381214,
22.0,2.3456269761278348,
22.25,2.764405205673187,
22.5,2.4712262291250076,
22.75,2.471221753281585,
23.0,2.769165217039201,
23.25,2.751966708314247,
23.5,2.29238254909676,
23.75,2.40976979244628,
24.0,2.397123563696975,
24.25,2.3846237939866146,
24.5,2.2645191162907965,
24.75,2.358404267993346,
25.0,2.3141316893081805,
25.25,2.42632340221973,
25.5,2.353622741528284,
25.75,2.30602906220105,
26.0,2.631694184014417,
26.25,2.5251009689703454,
26.5,2.5012602776582296,
26.75,2.513375612300895,
27.0,2.567083891168381,
27.25,2.1902025341749423,
27.5,2.472415473324864,
27.75,2.877980700743623,
28.0,2.662990706389773,
28.25,2.841040647983092,
28.5,2.615719838876776,
28.75,2.795175913417531,
29.0,2.869059790359671,
29.25,2.3853582511854685,
29.5,2.5576024849380636,
29.75,2.418111360445702,
30.0,2.4905293603539085,
30.25,2.3968487998626378,
30.5,2.8304225243916776,
30.75,2.4496820251588,
31.0,2.509630290585361,
31.25,2.458391742149703,
31.5,2.562108689949156,
31.75,2.5134669675118833,
32.0,2.551983260028653,
32.25,2.378100290739328,
32.5,2.040032391283559,
32.75,2.3422651097299583,
33.0,2.4146160758924835,
33.25,2.4867047751410434,
33.5,2.396696750144465,
33.75,2.2854416599399068,
34.0,2.591485618861846,
34.25,2.717985470856859,
34.5,2.7403529275311223,
34.75,2.899418976180847,
35.0,2.822096143268107,
35.25,2.6464314788880454,
35.5,2.787669848508687,
35.75,2.8312916586022756,
36.0,2.8343870999649567,
36.25,2.95218928113851,
36.5,3.038589644061123,
36.75,3.333743677982024,
37.0,2.940045738856046,
37.25,3.0359670676199633,
37.5,2.8075408631730467,
37.75,2.6569795842921593,
38.0,2.7764271126010827,
38.25,2.53405256201978,
38.5,3.0817902486920663,
38.75,2.915750021806629,
39.0,3.100614642308365,
39.25,3.0516593587830076,
39.5,2.713075569858392,
39.75,2.801582095749354,
40.0,3.05012364266812,
40.25,2.5691718730994477,
40.5,2.587363798266995,
40.75,2.550462047874539,
41.0,2.636253734561333,
41.25,2.8567102112453786,
41.5,2.696787048202865,
41.75,2.7194930335535137,
42.0,2.835313705108282,
42.25,2.669900195674225,
42.5,3.1508245053004327,
42.75,2.7035281833308606,
43.0,2.8306249509553423,
43.25,2.7081175037184013,
43.5,2.6016492736371992,
43.75,2.5402727674008383,
44.0,2.4909382857451567,
44.25,2.9138873195815544,
44.5,3.1315589894929396,
44.75,3.031357571758305,
45.0,2.8670533036413945,
45.25,2.926860330671001,
45.5,2.733701041164696,
45.75,2.9679919782739255,
46.0,2.9848789811822782,
46.25,2.7217258107636844,
46.5,2.8507378771564484,
46.75,2.9831453036013347,
47.0,2.9658047124246067,
47.25,2.754474513827413,
47.5,2.5109300970128983,
47.75,2.96786037611658,
48.0,3.2531384129289393,
48.25,3.04415523348952,
48.5,2.6308403237426874,
48.75,3.0191075917813204,
49.0,2.782475483384177,
49.25,2.9746522773577695,
49.5,2.749599666417381,
49.75,2.5462985915259977,
50.0,2.543902694155375,
