time_ns,min_dist_A,n_contacts
0.0,30.188346219832304,0
0.25,19.60248733337878,0
0.5,15.727643753374384,0
0.75,12.534946851619697,0
1.0,17.033742151593827,0
1.25,11.541325643469046,0
1.5,9.036088187919585,0
1.75,11.776141454967693,0
2.0,16.220514012751323,0
2.25,20.84081707962995,0
2.5,19.109091590771804,0
2.75,23.144383745055418,0
3.0,22.5221350038991,0
3.25,16.64406154758452,0
3.5,15.879290446818915,0
3.75,12.490992910665096,0
4.0,24.80016886002974,0
4.25,24.752780983631524,0
4.5,24.497334331459914,0
4.75,19.23287013326088,0
5.0,20.770543961414702,0
5.25,24.986155013075035,0
5.5,20.581527930066002,0
5.75,25.179433902716198,0
6.0,17.6727788685692,0
6.25,8.98821682562918,0
6.5,14.90543780436239,0
6.75,9.844442318831781,0
7.0,15.964789179491955,0
7.25,12.059790561839907,0
7.5,29.846237862796126,0
7.75,34.01819879415923,0
8.0,32.89478600350999,0
8.25,31.594558740314632,0
8.5,32.60964016393849,0
8.75,36.64392419263447,0
9.0,26.432824259178272,0
9.25,21.75636135178432,0
9.5,21.305490016506397,0
9.75,12.245836720457644,0
10.0,21.850404853568595,0
10.25,19.559172322064217,0
10.5,17.03923638789898,0
10.75,15.708508911190872,0
11.0,15.40056763540192,0
11.25,7.24676312832041,0
11.5,8.739654147632162,0
11.75,25.89875500283667,0
12.0,26.356695631305517,0
12.25,38.63640798169049,0
12.5,17.299708398852275,0
12.75,16.482973287510628,0
13.0,35.14341234938052,0
13.25,26.269453847158267,0
13.5,8.6377561392411,0
13.75,8.637373095088103,0
14.0,6.605447636655479,0
14.25,2.8480673503257647,59
14.5,2.896312462167366,15
14.75,4.720941529287085,0
15.0,3.400780539637301,5
15.25,10.338781240233283,0
15.5,2.4968319833072607,18
15.75,5.1006338268231,0
16.0,2.3786938292254205,74
16.25,2.6283752023358904,196
16.5,2.4438551833709297,227
16.75,2.366639359977013,262
17.0,2.109923249775267,297
17.25,2.5913128206362743,183
17.5,2.3249821435515186,223
17.75,2.437655185938231,204
18.0,2.212688236209368,228
18.25,2.128124210451687,268
18.5,2.197240400080131,221
18.75,2.0093960128218273,269
19.0,2.0846998360561853,317
19.25,2.0135963316187753,299
19.5,2.0852382214357204,234
19.75,2.1550712733031485,226
20.0,2.2131365194046775,251
20.25,2.188775163862935,254
20.5,1.8753262762082668,239
20.75,2.1002073836090354,251
21.0,1.9362430266025976,252
21.25,1.855877419589981,251
21.5,1.981635748138703,348
21.75,2.1613564028869026,359
22.0,1.8897824976688158,279
22.25,2.1928896145053693,351
22.5,2.159745232170384,387
22.75,1.945374285352174,330
23.0,2.632907862833229,360
23.25,1.7635443941477134,342
23.5,2.1471172976857127,374
23.75,2.297721443282249,343
24.0,2.026844276500362,381
24.25,1.8245931937053095,316
24.5,2.248834567813886,277
24.75,2.0290600464921487,359
25.0,1.8712136029048605,329
25.25,2.2873039405396014,324
25.5,2.353045086377311,280
25.75,1.9873801684843788,322
26.0,2.365486341815259,325
26.25,2.354953579085764,356
26.5,2.150100545223494,416
26.75,2.587506738825669,268
27.0,1.907113419793448,364
27.25,2.074859634613163,377
27.5,1.9603364553063738,398
27.75,2.0181643629922115,392
28.0,1.9570862066971089,418
28.25,1.9190168823914207,352
28.5,2.358785133480646,326
28.75,1.9401171041759777,304
29.0,1.9039648034412082,338
29.25,1.880887458222009,288
29.5,2.6279396421545367,316
29.75,2.2244847546233304,326
30.0,2.050480705005625,309
30.25,2.046963262481583,293
30.5,2.5346715738467083,272
30.75,2.379488488747846,338
31.0,1.9024450869619116,327
31.25,2.0711143067200073,309
31.5,2.321609006387027,279
31.75,2.3832970032363314,293
32.0,1.898348088575055,327
32.25,2.2703754549646145,318
32.5,2.1709305587371612,277
32.75,2.1683636173723135,302
33.0,2.3636709664446784,386
33.25,2.2332551314258366,328
33.5,2.3173793384679597,325
33.75,2.3249621153947166,286
34.0,2.2957771289118836,279
