time_ns,protein_rmsd_A,ligand_rmsd_A
0.0,1.047977935399544e-06,
0.25,1.3887316584055056,
0.5,1.6009545079618932,
0.75,2.0967829467319445,
1.0,2.0620462244558233,
1.25,1.7458790351290245,
1.5,1.9194041981135128,
1.75,2.0407436853869543,
2.0,1.9552061346515492,
2.25,1.7690449640332082,
2.5,2.1099614523697183,
2.75,2.371895142894991,
3.0,2.3310384604484726,
3.25,2.4583943569010613,
3.5,2.358775466724075,
3.75,2.3510137080336446,
4.0,2.222177801698855,
4.25,2.115978458866206,
4.5,2.4591419220218027,
4.75,2.5807874313357835,
5.0,2.5499534137682556,
5.25,2.8027443918641204,
5.5,2.6359948458516906,
5.75,2.410822537743184,
6.0,2.4892889810865775,
6.25,2.629895453622322,
6.5,2.593172757703534,
6.75,2.3438297458773354,
7.0,2.5974623240184487,
7.25,2.5655918022892457,
7.5,2.55701506620811,
7.75,2.784585315822591,
8.0,2.7969013305280868,
8.25,2.9905081563053595,
8.5,3.1967796994962425,
8.75,2.800349696777284,
9.0,2.5104606852458886,
9.25,3.1815787990897175,
9.5,2.8868584638589216,
9.75,3.3198397418018657,
10.0,3.3111478473833817,
10.25,3.118976448806209,
10.5,3.215331376075201,
10.75,3.2160135088668453,
11.0,2.972178448733235,
11.25,3.065896523812067,
11.5,2.9759724788605317,
11.75,3.247651715121629,
12.0,2.9312292785320473,
12.25,3.288372031004134,
12.5,3.312080795698305,
12.75,3.145268279322652,
13.0,3.267179714225983,
13.25,2.7325181552181927,
13.5,3.2616419697470542,
13.75,2.8063449505503293,
14.0,2.8385601404046064,
14.25,2.7867047281970696,
14.5,3.0802413863315787,
14.75,2.8447137543081618,
15.0,2.9210629927808984,
15.25,3.235568171084751,
15.5,3.201181295359386,
15.75,3.084084123405292,
16.0,3.561511673634707,
16.25,3.0372060229272817,
16.5,2.929804807459805,
16.75,2.971599686660058,
17.0,2.9452170978405694,
17.25,3.107292142465148,
17.5,2.945393516849887,
17.75,3.02906796012978,
18.0,2.7900482531109883,
18.25,2.7679280708234693,
18.5,2.8411276969145742,
18.75,3.2836703067441255,
19.0,3.275972920502362,
19.25,3.3869363398411507,
19.5,2.868913932451366,
19.75,2.97175494201329,
20.0,2.7498220290746156,
20.25,2.886776013900884,
20.5,2.989748513337439,
20.75,3.005412758932347,
21.0,2.775431858430433,
21.25,2.8897967413358017,
21.5,3.031953257390107,
21.75,2.885023695291863,
22.0,3.1410593882493254,
22.25,2.983202752653165,
22.5,2.9045984573837473,
22.75,2.6953169379724717,
23.0,2.721428894624362,
23.25,3.0875725489634167,
23.5,2.6942964727010152,
23.75,2.8540496390914485,
24.0,2.953086156190939,
24.25,2.661299408055339,
24.5,2.9154725424644456,
24.75,2.6082380073551414,
25.0,2.5082407405790446,
25.25,2.6223465842817215,
25.5,2.7476734716800926,
25.75,2.587809329871348,
26.0,2.522013372703292,
26.25,2.5747210007391494,
26.5,3.003373817471643,
26.75,2.9406519133548024,
27.0,2.8954281627338663,
27.25,2.9484215793212436,
27.5,2.8434341068949545,
27.75,2.7821206191588868,
28.0,3.235986983322192,
28.25,2.943224107097228,
28.5,3.0231922817051133,
28.75,2.9491150314712224,
29.0,3.2043595740128614,
29.25,2.9953655017296867,
29.5,2.8731714237541044,
29.75,3.139224985832553,
30.0,2.821559806273258,
30.25,2.979150621083065,
30.5,2.8821017154338118,
30.75,2.961612241674234,
31.0,2.9220825982660217,
31.25,3.1538055107567144,
31.5,2.7965108792522164,
31.75,2.7606455338725926,
32.0,2.832372900370419,
32.25,3.1618785258041124,
32.5,3.2304219716092843,
32.75,2.9808233247833176,
33.0,3.2788665277582756,
33.25,3.0788479493713052,
33.5,3.0564934180055148,
33.75,2.862271141384214,
34.0,2.721870681491355,
34.25,2.6741942607646214,
34.5,3.0287020891438003,
34.75,3.1152279873689923,
35.0,2.9461032115740364,
35.25,2.629517255872858,
35.5,2.975032701463772,
35.75,3.1669649446163533,
36.0,3.129929616520025,
36.25,2.879343705487283,
36.5,2.938622978637952,
36.75,2.943654714239648,
37.0,3.030577539657766,
37.25,3.111841753467755,
37.5,2.9908173447224917,
37.75,3.298949061316299,
38.0,2.963843197443873,
38.25,2.83988349691035,
38.5,3.0272945949875023,
38.75,2.8434268658650295,
39.0,2.838621463245516,
39.25,2.8076069180785925,
39.5,2.8523736168615597,
39.75,2.6774929862559778,
40.0,2.8932659675075065,
40.25,2.6806352918404706,
40.5,2.7015992320072066,
40.75,2.788434133038269,
41.0,2.6809709537108395,
41.25,2.775776902976354,
41.5,2.7669879733314464,
41.75,2.6520615075940124,
42.0,2.5390590076088806,
42.25,2.5575131010158363,
42.5,2.4124175545777073,
42.75,2.3327733142154443,
43.0,2.5466715060610583,
43.25,2.4293684460520155,
43.5,2.5640754290077297,
43.75,2.4927446792807446,
44.0,2.6727345392902873,
44.25,2.5939465791541467,
44.5,2.727911277650061,
44.75,2.823089845723041,
45.0,3.159648643514144,
45.25,2.928747311392781,
45.5,2.610760794490752,
45.75,2.8153743029357696,
46.0,3.031659870343066,
46.25,3.231606065297043,
46.5,3.259951574214062,
46.75,3.0746412555784484,
47.0,2.9788157075708357,
47.25,2.9463446764810026,
47.5,2.973670365929755,
47.75,3.33889882967233,
48.0,3.053573117565175,
48.25,2.9084178216423915,
48.5,3.105159660141255,
48.75,2.875029771909135,
49.0,2.9792925589792203,
49.25,2.9472215960029433,
49.5,2.9942611544812108,
49.75,2.903033264976722,
50.0,3.0765066100759597,
