time_ns,min_dist_A,n_contacts
0.0,39.078998336762574,0
0.25,41.542406565486374,0
0.5,38.13813862938651,0
0.75,34.33027287085322,0
1.0,27.731456971801112,0
1.25,30.27016390684217,0
1.5,30.27048737124487,0
1.75,30.658739211277528,0
2.0,21.30161655851396,0
2.25,20.736781790671728,0
2.5,31.048145458226518,0
2.75,38.46549292895304,0
3.0,28.04618063860989,0
3.25,30.438954406868685,0
3.5,29.06933191403652,0
3.75,11.15943019415131,0
4.0,18.376615039440942,0
4.25,23.324545324466385,0
4.5,38.30092309434382,0
4.75,38.909621452219994,0
5.0,37.883608866247535,0
5.25,27.71096649473528,0
5.5,34.92439954970879,0
5.75,33.24140216844884,0
6.0,22.22905328710299,0
6.25,21.558097658021662,0
6.5,29.660259692363063,0
6.75,33.7753176322875,0
7.0,34.09229313022455,0
7.25,38.01345545103041,0
7.5,24.262826798206696,0
7.75,34.433429571351006,0
8.0,22.855755265985742,0
8.25,23.10295370325518,0
8.5,31.072822524787046,0
8.75,33.412634125938176,0
9.0,25.25350891190436,0
9.25,25.64188973637307,0
9.5,24.519630375058735,0
9.75,30.37959054849304,0
10.0,23.484211896459396,0
10.25,16.424212374159826,0
10.5,12.93668527070919,0
10.75,5.425793115677623,0
11.0,18.183022820484258,0
11.25,14.214067063655234,0
11.5,15.918403782233243,0
11.75,18.980572640556318,0
12.0,29.60659163258552,0
12.25,27.995796470564848,0
12.5,13.246322834681683,0
12.75,16.12966626147394,0
13.0,24.995352162423888,0
13.25,17.404887333827322,0
13.5,25.947034604885687,0
13.75,17.416928631956008,0
14.0,11.696303212065908,0
14.25,24.32640284462741,0
14.5,18.31916053401711,0
14.75,17.174812819635008,0
15.0,5.760865113462985,0
15.25,8.836896985736304,0
15.5,9.899493367200757,0
15.75,12.704245622808436,0
16.0,35.599207163696455,0
16.25,7.042198428395688,0
16.5,7.631087226291486,0
16.75,0.6810129655094904,196
17.0,20.487229792253554,0
17.25,8.782523621792816,0
17.5,16.622576689015563,0
17.75,28.118968169501027,0
18.0,16.11289877492696,0
18.25,16.15010200709013,0
18.5,24.768058015753848,0
18.75,23.540798318888427,0
19.0,24.149586262138026,0
19.25,30.902990804550655,0
19.5,29.85048257129613,0
19.75,29.698077236302282,0
20.0,32.84413575104641,0
20.25,20.904776622316035,0
20.5,29.901962177948796,0
20.75,33.861967364914406,0
21.0,37.49923595456095,0
21.25,30.62506360375888,0
21.5,36.40510855161251,0
21.75,27.821046000074908,0
22.0,19.9718281913797,0
22.25,21.75664864802627,0
22.5,22.29027470171918,0
22.75,25.627920158119622,0
23.0,26.436026863195295,0
