time_ns,min_dist_A,n_contacts
0.0,30.18833813258501,0
0.25,19.602486575538062,0
0.5,15.727643808300597,0
0.75,12.534940634103458,0
1.0,17.03372040014231,0
1.25,11.54132582745776,0
1.5,9.036080427231429,0
1.75,11.776137647225417,0
2.0,16.220522932853477,0
2.25,20.840812479389392,0
2.5,19.109093335342592,0
2.75,23.144393766272586,0
3.0,22.52213296359996,0
3.25,33.32607772405496,0
3.5,15.879284703124673,0
3.75,12.490994871088146,0
4.0,33.28038338293832,0
4.25,27.994500485089443,0
4.5,35.60652679244829,0
4.75,19.23287672587684,0
5.0,20.770551370457994,0
5.25,24.986148152273596,0
5.5,20.581537599354082,0
5.75,29.349562684891875,0
6.0,39.099844037381835,0
6.25,38.63909745763639,0
6.5,30.858775864759508,0
6.75,27.42395821075922,0
7.0,42.59556457181232,0
7.25,47.65384579290298,0
7.5,47.38844534390032,0
7.75,42.46591350468083,0
8.0,35.71430287900343,0
8.25,31.594567258406965,0
8.5,48.51492975696382,0
8.75,45.487382380893564,0
9.0,50.31357812260796,0
9.25,50.363417380977864,0
9.5,52.47318611849154,0
9.75,62.46973706801518,0
10.0,58.91898851835597,0
10.25,65.24306018600988,0
10.5,59.9694662910721,0
10.75,62.15426855911927,0
11.0,16.57104412797536,0
11.25,7.246754433334937,0
11.5,8.739661223177007,0
11.75,25.898742715962218,0
12.0,40.01900906901671,0
12.25,54.28309055062547,0
12.5,17.76215365857884,0
12.75,16.48297098818584,0
13.0,35.551288976339116,0
13.25,26.26946965356417,0
13.5,8.63773906459831,0
13.75,8.63737793218664,0
14.0,6.605449043159865,0
14.25,2.8480701112941205,59
14.5,2.896308391906372,15
14.75,4.720953148136667,0
15.0,3.400792551177436,5
15.25,10.338795264435838,0
15.5,2.496837553774048,18
15.75,5.100632050194821,0
16.0,2.378694074085707,60
16.25,2.6283686828675115,105
16.5,2.503621807048928,115
16.75,2.3666435083001036,222
17.0,2.1099326707990778,297
17.25,2.591308098318644,133
17.5,2.324993296462352,108
17.75,2.525033480228988,75
18.0,2.2126991105014238,194
18.25,2.1281177030339538,241
18.5,2.1972230523674052,176
18.75,2.0093736954007415,241
19.0,2.084695191319184,229
19.25,2.0135819951480904,229
19.5,2.085238262086579,203
19.75,2.155064177299043,221
20.0,2.2131208614919204,192
20.25,2.1887634109787824,157
20.5,1.8753196960683225,220
20.75,2.1002094077320264,177
21.0,1.9362387449185956,252
21.25,1.8558872481295303,251
21.5,1.9816357224047263,309
21.75,2.161345102640404,347
22.0,1.8898042454767188,239
22.25,2.192894100000254,305
22.5,2.1597439635641216,366
22.75,1.945390738787522,330
23.0,2.632906143435806,343
23.25,1.7635498011156359,256
23.5,2.1471097420760845,218
23.75,2.2977102794589004,195
24.0,2.0268488166395966,242
24.25,1.824587516275001,300
24.5,2.2488399726432804,232
24.75,2.0290667706752403,358
25.0,1.8712009429122467,329
25.25,2.2872979707283005,324
25.5,2.3530297579811563,280
25.75,1.987381729549935,322
26.0,2.365494116377256,325
26.25,2.3549627819012304,356
26.5,2.150090151315695,416
26.75,2.5875070847996926,268
27.0,1.9071157798118372,364
27.25,2.0748467997882507,377
27.5,1.9603391790334113,398
27.75,2.0181481588325028,392
28.0,1.9570974165805897,418
28.25,1.9190174084083138,352
28.5,2.3587712752012187,326
28.75,1.9401321051709983,304
29.0,1.9039685470327798,338
