time_ns,protein_rmsd_A,ligand_rmsd_A
0.0,1.4820646093097902e-06,6.372004554567919e-08
0.05,11.04320637520366,1.3622015036565331
0.1,15.764096104407571,1.0913472548798333
0.15,14.803456242944005,1.4581815282984116
0.2,13.849878406524502,1.5136003227553103
0.25,10.279983501612755,1.6232034070924497
0.3,12.950497126000776,1.665038260974326
0.35,12.063977172656752,1.811008349939203
0.4,12.356906711819825,1.6781412537884137
0.45,14.043950369934151,1.8351381564301825
0.5,13.64578067165185,1.7048824969616936
0.55,13.415333702134518,1.3986111991696368
0.6,14.897162913175984,1.4264208507681713
0.65,16.005750252491033,1.3345604795051427
0.7,15.501852007820313,1.994484571609389
0.75,14.4931085494961,1.7720463270846165
0.8,14.847121244758792,1.5523700366394007
0.85,13.628414785645424,1.3285581121969516
0.9,14.877152933851384,1.7172589487570022
0.95,14.340398683856343,1.4265269110842953
1.0,15.988565755553681,1.9414143568499895
1.05,19.79726213471729,1.6681159415146722
1.1,18.975040127551797,1.8563754762233724
1.15,19.24554312621415,1.599833681295054
1.2,24.02254387762967,1.514857001291463
1.25,23.9789573273871,1.5591644911886842
1.3,22.24320601189888,1.5167043633778878
1.35,20.11383719995588,1.9017275815469687
1.4,16.9762960627763,1.5604332882227858
1.45,20.04268022781292,1.620042881598169
1.5,17.78686780295345,1.7146027544096982
1.55,16.543269746592294,1.4924450092729298
1.6,17.639612592852423,1.9730982230317557
1.65,16.978364769148538,1.7028481859573903
1.7,16.632373927466226,1.7592986267189876
1.75,20.22555010467988,1.9283805466412816
1.8,19.36015384414915,1.9188731437180373
1.85,16.81442942315626,1.7152079206310031
1.9,17.507558227023974,1.797161925820041
1.95,18.778413218787257,1.9289007645803977
2.0,18.421944313174663,1.6220774825404765
2.05,18.484792016135412,2.1356398473030476
2.1,16.829018974857203,1.6908982741256957
2.15,17.16469095995095,24.835605732944536
2.2,18.673744025858685,1.403054318598842
2.25,22.674327031351435,56.593048944819536
2.3,23.77386211847803,1.5920502249401605
2.35,25.75235723559822,50.276396720760545
2.4,30.030707039985927,63.82135754236398
2.45,32.36107949045734,49.25422429796327
2.5,31.82989573837753,57.956756613576985
2.55,27.822652009643328,60.641165877212075
2.6,27.289428148282624,53.19463844651502
2.65,26.875666105039397,64.58013401595748
2.7,32.45032142702363,53.25679574606199
2.75,35.4419378430856,61.72335889111853
2.8,36.0932083842998,57.11848800465745
2.85,35.088951932092534,57.260095427223604
2.9,31.78929212562589,24.54501715210472
2.95,30.85202828018495,56.3706120511753
3.0,29.268378499337803,57.54754252975924
3.05,28.070911176838848,65.81195566748858
3.1,26.58730456329249,24.700727509749456
3.15,26.816408524852257,63.8522643507396
3.2,23.219721597976452,63.53899268117427
3.25,23.448625259145018,63.70262133434383
3.3,24.104779734083657,54.93567132090525
3.35,22.402874109849083,53.550477569335186
3.4,21.411724380292394,45.481486933718614
3.45,22.280180672457277,1.8704955053616525
3.5,23.08990749696266,1.7641595086424298
3.55,22.42725395327766,1.8206919365389742
3.6,23.92202711366907,1.6926836986071085
3.65,23.836844391776783,1.7672446502482875
3.7,24.931156977467783,1.8232781424408537
3.75,24.291287195359757,1.6477787665861972
3.8,25.32389586871819,24.104528212034122
3.85,25.06978732609013,33.690904618593336
3.9,28.704228608596097,1.8331754969941674
3.95,28.13996294841,45.38355997381361
4.0,24.828638732849384,33.77419230406053
4.05,22.222229940323096,40.02564303985396
4.1,22.884848441740225,24.78826991869955
4.15,22.989041070247673,45.25477373080409
4.2,25.397817066541382,49.584429832655644
4.25,27.756405695648336,64.53522837688698
4.3,26.912314917279243,56.34926088191197
4.35,27.71181019857619,65.99825716787223
4.4,23.806936263634817,56.104489578151394
4.45,27.92851395042342,62.803569647476316
4.5,28.59502231601477,64.41569351447049
4.55,26.751581102631143,50.28437954785639
4.6,29.031816856663387,49.76362970371248
4.65,28.222275974362073,1.3580608366339428
4.7,33.37723121417482,33.824535450720376
4.75,33.83547493914203,24.64708755787399
4.8,33.586075969637704,33.74227151604061
4.85,34.812934261755856,45.47575798258969
4.9,31.641415604489573,1.5221337450195116
4.95,34.21939312953861,45.29637035625863
5.0,29.67939201400051,2.108849147650583
5.05,29.82894641467664,1.4079751405062508
5.1,33.19491650052877,45.467438053026235
5.15,35.96198021701706,53.50319519940783
5.2,34.56225044398341,24.878833288433256
5.25,34.305998340867866,1.694625202030304
5.3,33.55237836921742,1.5880298013253888
5.35,32.01956191274588,1.7868322890253154
5.4,28.94031434367733,1.7759543716574018
5.45,30.213301886603144,1.7084599945194174
5.5,28.60498500588711,1.7152752808842082
5.55,26.406650057432905,1.6925648373723123
5.6,26.850854605892064,1.7553404426808794
5.65,24.089045469988772,1.998118945825165
5.7,23.60125012767957,2.0910072173849463
5.75,24.413421824733412,2.238223460065167
5.8,23.35995395080042,2.1457931671994372
5.85,24.174330644415722,2.1085155454708575
5.9,23.28629251124415,2.053969960544602
5.95,23.645574334273796,1.9779591561354064
6.0,22.98043318859119,1.9315969246706677
6.05,23.136607359062463,2.117365359461572
6.1,23.032238162686003,2.0551876125622455
6.15,22.94946325493985,2.1950743587767394
6.2,23.057921158617823,2.0590211259129685
6.25,23.745578406999414,2.2398198782968435
6.3,24.751623518191867,1.6257302963228621
6.35,25.475678791382318,1.638135239052446
6.4,25.619332812655184,1.9648555642383874
6.45,28.03141370792848,1.8621282774402759
6.5,31.537063921037035,1.669555274640844
6.55,34.29985409328738,1.6435977554779908
6.6,33.27022178796107,1.1725981381904251
6.65,35.12299261320308,2.0048738904491348
6.7,36.2881843486234,1.814029852472169
6.75,36.73884755635614,1.7154022616476152
6.8,35.58265632862188,1.6297675081121392
6.85,32.946680619207655,0.9306835612310707
6.9,31.69461371121543,1.5968098203939296
6.95,31.779675162194827,1.5718301572570454
7.0,31.11808071138231,1.6995292791004029
7.05,31.46602839383125,1.6674560483586012
7.1,31.523215958731452,1.6682673719375123
7.15,34.150737592762944,1.66742391225868
7.2,34.06693178393622,1.5720137778889745
7.25,33.291847369793885,1.7868856067290049
7.3,35.21794349339904,1.7966807893778955
7.35,34.13249945996842,1.7142992794210827
7.4,38.89641067176721,1.6770697841113376
7.45,36.71170642111746,1.7520746420932014
7.5,38.896469739845486,1.7876552174642426
7.55,38.461300749158276,1.7180591534702006
7.6,39.29476202661795,1.6909154628834104
7.65,37.502572123913424,1.75991087027273
7.7,35.775467244824455,1.6742952649672083
7.75,38.996543997865416,1.7916680010039054
7.8,36.35770240905222,1.8943470825999384
7.85,38.014842540601315,1.9298542919809567
7.9,38.09372058734315,1.7778635317654312
7.95,38.295443781515274,1.6933783725607225
8.0,38.494686800450395,2.197184013041999
